Campagne,Region,Site,Famille,Variete,Num Parcelle,CodeTracabilite,Date,Tonnage,is_train,Recolte,day,month,year,irrigation_daily_mean,irrigation_daily_std,irrigation_daily_median,irrigation_daily_quantile_25th,irrigation_daily_quantile_75th,irrigation_daily_min,irrigation_daily_max,irrigation_cumulee_1,irrigation_cumulee_2,irrigation_cumulee_3,irrigation_cumulee_4,irrigation_cumulee_5,irrigation_cumulee_6,irrigation_cumulee_7,irrigation_cumulee_8,irrigation_cumulee_9,irrigation_cumulee_10,irrigation_cumulee_11,irrigation_cumulee_12,N_cumulee_1,P_cumulee_1,K_cumulee_1,N_cumulee_2,P_cumulee_2,K_cumulee_2,N_cumulee_3,P_cumulee_3,K_cumulee_3,N_cumulee_4,P_cumulee_4,K_cumulee_4,N_cumulee_5,P_cumulee_5,K_cumulee_5,N_cumulee_6,P_cumulee_6,K_cumulee_6,N_cumulee_7,P_cumulee_7,K_cumulee_7,N_cumulee_8,P_cumulee_8,K_cumulee_8,N_cumulee_9,P_cumulee_9,K_cumulee_9,N_cumulee_10,P_cumulee_10,K_cumulee_10,N_cumulee_11,P_cumulee_11,K_cumulee_11,N_cumulee_12,P_cumulee_12,K_cumulee_12,Date Plantation,Date Arrachage,Porte Greffe,Sup Debut Camp,Sup Plantee,Sup Arrachee,Sup Fin Camp,Tree Age,Days to Arrachage
20/21,GHARB,Chorf Laghouazi,CLA,CLA1,13030,TR11130,2020-10-01,"269,855",True,0,1,10,2020,64.6773116751269,55.47488747777183,42.8174,24.4161,80.7876,8.5837,310.1503,101.9943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-09,2060-09-30,PG6,1.7499,0.0,0.0,1.7499,2092.0,14609.0
20/21,GHARB,Chorf Laghouazi,CLA,CLA6,18030,TR11140,2020-10-01,"101605,9951",True,0,1,10,2020,35.105404972375695,30.6550992547339,23.0174,15.5523,41.9912,4.4065,230.2242,52.3594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-05-20,,PG6,1.093,0.0,0.0,1.093,1230.0,
20/21,GHARB,Chorf Laghouazi,CLA,CLA12,13010,TR11120,2020-10-01,"170,354",True,0,1,10,2020,103.38796802030456,158.33083916213832,62.402,35.5839,117.7396,12.5098,1927.4876,148.6463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-01-08,2021-01-11,PG6,2.3674,0.0,0.0,2.3674,2093.0,102.0
20/21,GHARB,Chorf Laghouazi,CLA,CLA14,12010,TR11090,2020-10-01,"37891,08567",True,0,1,10,2020,127.19927352941174,118.85998712711611,81.6828,64.0649,161.23014999999998,22.4227,1245.6362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-30,,PG6,3.5341,0.0,0.0,3.5341,4081.0,
20/21,GHARB,Chorf Laghouazi,CLA,CLA14,12020,TR11100,2020-10-01,"45197,56034",True,0,1,10,2020,51.49337352941176,48.11741642026992,33.0672,25.9351,65.26984999999999,9.0773,504.2638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-30,,PG7,1.6688,0.0,0.0,1.6688,4081.0,
20/21,GHARB,Chorf Laghouazi,CLA,CLA14,12030,TR11110,2020-10-01,"252,296",True,0,1,10,2020,73.413746875,63.81403348161487,54.5598,42.134625,75.0197,11.935,568.8712,37.5099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-07-20,,PG6,2.3338,0.0,0.0,2.3338,3726.0,
20/21,GHARB,Chorf Laghouazi,CLA,CLA14,12040,TR11110,2020-10-01,"155227,3985",True,0,1,10,2020,184.93469062500003,160.75227314261514,137.4402,106.140375,188.9803,30.065,1433.0288,94.4901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-05-06,,PG6,5.2713,0.0,0.0,5.2713,3436.0,
20/21,GHARB,Chorf Laghouazi,CLA,CLA7,14010,TR11010,2020-10-01,"46259,91746",True,0,1,10,2020,176.7885510526316,307.7742730843233,131.39515,90.40475,196.424875,18.081,3964.6603,69.8582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-30,,PG7,4.7248,0.0,0.0,4.7248,4081.0,
20/21,GHARB,Chorf Laghouazi,CLA,CLA14,12010,TR11020,2020-10-01,"111,824",True,0,1,10,2020,61.62408368421055,107.26659104461656,45.7914,31.5062,68.45439999999999,6.3012,1381.6907,24.3457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-07-30,,PG6,1.9072,0.0,0.0,1.9072,4446.0,
20/21,GHARB,Chorf Laghouazi,CLA,CLA15,13010,TR11040,2020-10-01,"27254,34902",True,0,1,10,2020,97.38771948717948,102.45985347523248,76.0069,51.9778,111.2268,6.7031,657.4766,42.6048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-01-07,,PG6,2.8402,0.0,0.0,2.8402,4651.0,
