Year,Campagne,Region,Site,Famille,Variete,Num Parcelle,Code Traçabilité,yearly_average_of_qte_d_eau
2020.0,20/21,GHARB,Ben Mansour,AF,AF1,11240,TR11240,69.61874999999999
2020.0,20/21,GHARB,Ben Mansour,CLA,CLA14,11211,TR11211,66.02064615384616
2020.0,20/21,GHARB,Ben Mansour,CLA,CLA16,11160,TR11160,72.00243076923076
2020.0,20/21,GHARB,Ben Mansour,ORA,ORA2,11170,TR11170,133.875
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA1,13030,TR11130,27.5412
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA12,13010,TR11120,40.13852727272727
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA14,12010,TR11020,28.94185
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA14,12010,TR11090,80.12695714285714
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA14,12020,TR11100,32.43732857142857
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA14,12030,TR11110,46.30195333333334
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA14,12040,TR11110,116.63804666666667
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA15,13010,TR11040,69.20636071428571
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA15,13020,TR11040,3.4633375
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA16,11010,TR11030,8.562628571428572
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA16,11020,TR11030,42.523017857142854
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA16,11030,TR11030,62.450857142857146
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA6,18030,TR11140,14.138463636363637
2020.0,20/21,GHARB,Chorf Laghouazi,CLA,CLA7,14010,TR11010,83.04655
2020.0,20/21,GHARB,Chorf Laghouazi,ORA,ORA10,11010,TR11010,22.57538275862069
2020.0,20/21,GHARB,Chorf Laghouazi,ORA,ORA10,11020,TR11010,24.037879310344827
2020.0,20/21,GHARB,Chorf Laghouazi,ORA,ORA10,11030,TR11020,9.474117241379309
2020.0,20/21,GHARB,Chorf Laghouazi,ORA,ORA11,23010,TR11060,81.18017777777779
2020.0,20/21,GHARB,Chorf Laghouazi,ORA,ORA11,23020,TR11060,57.953155555555554
