Variete,CodeTracabilite,Year,Count
AF1,TR10000,2021,29
AF1,TR10000,2022,27
AF1,TR11000,2021,60
AF1,TR11000,2022,41
AF1,TR11011,2021,2
AF1,TR11011,2022,3
AF1,TR11030,2021,4
AF1,TR11030,2022,6
AF1,TR11240,2021,2
AF1,TR11600,2022,4
AF1,TR12010,2021,3
AF1,TR12010,2022,3
AF1,TR12020,2021,3
AF1,TR12020,2022,2
AF1,TR12050,2021,2
AF1,TR12050,2022,2
AF1,TR13010,2021,3
AF1,TR13010,2022,2
AF1,TR14211,2022,4
AF1,TR20000,2021,57
AF1,TR20000,2022,24
AF1,TR20100,2021,6
AF1,TR20100,2022,6
AF1,TR20200,2021,25
AF1,TR20200,2022,36
AF1,TR21010,2021,4
AF1,TR21010,2022,4
AF1,TR21040,2021,5
AF1,TR21040,2022,5
AF1,TR21705,2021,10
AF1,TR21705,2022,13
AF1,TR21807,2021,4
AF1,TR21807,2022,6
AF1,TR22010,2021,2
AF1,TR22031,2021,4
AF1,TR22031,2022,3
AF1,TR22050,2021,4
AF1,TR22130,2021,2
AF1,TR22141,2021,4
AF1,TR22141,2022,5
AF1,TR22142,2021,2
AF1,TR22142,2022,2
AF1,TR22220,2021,4
AF1,TR22220,2022,4
AF1,TR26310,2020,2
AF1,TR26310,2021,8
AF1,TR26310,2022,12
AF1,TR30099,2021,4
AF1,TR30099,2022,5
AF1,TR30100,2021,32
AF1,TR30100,2022,18
AF1,TR30101,2021,6
AF1,TR30101,2022,4
AF1,TR30200,2021,53
AF1,TR30200,2022,37
AF1,TR31040,2021,6
AF1,TR31040,2022,4
AF1,TR40100,2021,44
AF1,TR40100,2022,27
AF1,TR40200,2021,21
AF1,TR40200,2022,10
AF1,TR40300,2021,14
AF1,TR40300,2022,12
AF1,TR50000,2021,43
AF1,TR50000,2022,51
AF1,TR50100,2021,18
AF1,TR50100,2022,27
AF1,TR50200,2021,13
AF1,TR50200,2022,30
AF2,TR12030,2021,3
AF2,TR13020,2021,2
AF2,TR14010,2021,4
AF2,TR14010,2022,3
AF2,TR14020,2021,2
AF2,TR14020,2022,3
AF2,TR14030,2021,3
AF2,TR14030,2022,3
AF2,TR14040,2021,2
AF2,TR14040,2022,2
AF3,TR60300,2022,2
CLA1,TR11130,2021,2
CLA1,TR14000,2020,4
CLA1,TR14000,2021,4
CLA1,TR14000,2022,4
CLA1,TR41040,2021,2
CLA10,TR21606,2020,2
CLA10,TR21606,2021,2
CLA10,TR21606,2022,2
CLA11,TR10100,2021,3
CLA11,TR10100,2022,2
CLA11,TR21011,2022,2
CLA11,TR21023,2022,2
CLA11,TR21132,2022,2
CLA12,TR11120,2020,2
CLA12,TR11120,2021,2
CLA13,TR11130,2021,2
CLA13,TR11130,2022,2
CLA13,TR11212,2021,2
CLA14,TR10010,2020,2
CLA14,TR10010,2022,2
CLA14,TR11000,2020,5
CLA14,TR11000,2021,5
CLA14,TR11000,2022,6
CLA14,TR11020,2020,4
CLA14,TR11020,2021,4
CLA14,TR11020,2022,3
CLA14,TR11090,2020,2
CLA14,TR11090,2021,3
CLA14,TR11100,2020,2
CLA14,TR11100,2021,3
CLA14,TR11100,2022,2
CLA14,TR11105,2020,3
CLA14,TR11105,2021,3
CLA14,TR11105,2022,3
CLA14,TR11110,2020,4
CLA14,TR11110,2021,4
CLA14,TR11110,2022,6
CLA14,TR11203,2020,2
CLA14,TR11211,2020,3
CLA14,TR11211,2021,4
CLA14,TR11211,2022,3
CLA14,TR11302,2020,21
CLA14,TR11302,2021,11
CLA14,TR11302,2022,2
CLA14,TR11402,2020,2
CLA14,TR11402,2021,4
CLA14,TR11402,2022,4
CLA14,TR20100,2021,3
CLA14,TR20100,2022,2
CLA14,TR20213,2021,3
CLA14,TR20213,2022,2
CLA14,TR20214,2021,3
CLA14,TR20214,2022,2
CLA14,TR20215,2021,4
CLA14,TR20215,2022,2
CLA14,TR20217,2021,4
CLA14,TR20217,2022,2
CLA14,TR20218,2020,2
CLA14,TR20218,2021,4
CLA14,TR20218,2022,2
CLA14,TR20435,2020,2
CLA14,TR20435,2021,4
CLA14,TR20435,2022,3
CLA14,TR20436,2020,2
CLA14,TR20436,2021,4
CLA14,TR20436,2022,2
CLA14,TR21202,2020,5
CLA14,TR21202,2021,7
CLA14,TR21202,2022,6
CLA14,TR24000,2020,6
CLA14,TR24000,2021,6
CLA14,TR24000,2022,9
CLA14,TR25110,2020,3
